Modelo,F1 (media),F1 (std),AUC-ROC (media),AUC-PR (media),Recall (media),Precision (media)
LR Baseline,0.42142324995858466,0.009890948840183135,0.7868878296208196,0.42191276023876184,0.6545443484160226,0.3108554620593153
RF Baseline,0.4672860785946161,0.012445883680079413,0.797283070172903,0.44222328204266603,0.6170624151967435,0.3761936281294514
RF + Clústeres,0.4642382545638526,0.01413294242784771,0.7965903639925467,0.43970649726690053,0.6311869506223822,0.36739193089602634
LR + Clústeres,0.41381539486935137,0.008876238262845356,0.7868352751008525,0.4257314851745761,0.665406908147012,0.3003811049051094
