Modelo,F1-1,Recall-1,Precision-1,AUC-ROC,AUC-PR,F1-CV (media),F1-CV (std)
LR Baseline,0.4228211410570529,0.6558089033659066,0.3119834710743802,0.7881557689972299,0.42175893435808454,0.42142324995858466,0.009890948840183135
RF Baseline,0.46293245469522243,0.6102062975027145,0.3729263437292634,0.802605234277469,0.44598008652033005,0.4672860785946161,0.012445883680079413
RF + Clústeres,0.45244618395303327,0.6275787187839305,0.3537331701346389,0.8003084976410457,0.4457240084798807,0.4642382545638526,0.01413294242784771
LR + Clústeres,0.41204013377926424,0.6688382193268186,0.29772837119381346,0.7891871891270827,0.42813408102012457,0.41381539486935137,0.008876238262845356
